net,length_um
_0337_,4.92µm
_0399_,4.92µm
_0507_,4.92µm
_0719_,4.92µm
scratch\[1\]\[25\],4.92µm
_0111_,4.885µm
_0443_,4.88µm
_0562_,4.88µm
_0809_,4.88µm
_0093_,4.845µm
_0122_,4.845µm
_0175_,4.845µm
_0408_,4.82µm
_0527_,4.82µm
net365,4.82µm
_0056_,4.805µm
_0262_,4.805µm
_0411_,4.8µm
_0429_,4.8µm
_0692_,4.8µm
_0707_,4.8µm
_0742_,4.8µm
scratch\[4\]\[0\],4.8µm
net337,4.8µm
net356,4.8µm
_0672_,4.78µm
_0567_,4.76µm
_0686_,4.76µm
_0808_,4.76µm
_0078_,4.725µm
_0120_,4.725µm
_0198_,4.7µm
_0229_,4.7µm
_0237_,4.7µm
net388,4.7µm
_0344_,4.68µm
_0728_,4.68µm
_0760_,4.68µm
scratch\[1\]\[13\],4.68µm
net284,4.68µm
_0071_,4.675µm
_0289_,4.66µm
_0332_,4.66µm
scratch\[6\]\[31\],4.66µm
net303,4.66µm
_0030_,4.635µm
_0044_,4.625µm
_0129_,4.625µm
_0256_,4.625µm
_0022_,4.605µm
_0329_,4.6µm
net347,4.6µm
_0380_,4.58µm
_0376_,4.56µm
_0641_,4.56µm
net293,4.56µm
_0279_,4.54µm
_0031_,4.525µm
_0211_,4.525µm
_0195_,4.485µm
_0293_,4.46µm
_0326_,4.46µm
_0547_,4.46µm
_0634_,4.46µm
_0695_,4.46µm
_0795_,4.46µm
scratch\[7\]\[13\],4.46µm
scratch\[7\]\[1\],4.46µm
_0704_,4.44µm
scratch\[6\]\[10\],4.44µm
_0006_,4.435µm
_0274_,4.42µm
_0351_,4.42µm
_0470_,4.42µm
_0513_,4.42µm
_0605_,4.42µm
_0748_,4.42µm
_0042_,4.385µm
_0155_,4.385µm
_0239_,4.385µm
_0696_,4.36µm
_0657_,4.34µm
_0801_,4.34µm
net302,4.34µm
net314,4.34µm
net382,4.34µm
net401,4.34µm
_0635_,4.32µm
_0012_,4.285µm
_0007_,4.265µm
_0029_,4.24µm
_0090_,4.24µm
_0137_,4.24µm
_0197_,4.24µm
_0456_,4.24µm
_0508_,4.24µm
_0576_,4.24µm
net393,4.24µm
net420,4.24µm
net438,4.24µm
_0057_,4.215µm
_0284_,4.2µm
_0296_,4.2µm
_0328_,4.2µm
_0566_,4.2µm
net280,4.2µm
net301,4.2µm
net305,4.2µm
_0259_,4.165µm
_0697_,4.11µm
_0064_,4.095µm
_0227_,4.095µm
_0595_,4.08µm
_0011_,4.065µm
_0063_,4.065µm
_0261_,4.065µm
_0653_,4.06µm
_0629_,4.02µm
_0743_,4µm
_0791_,4µm
_0806_,4µm
scratch\[6\]\[5\],4µm
net321,4µm
net329,4µm
net331,4µm
net345,4µm
net414,4µm
_0266_,3.985µm
_0179_,3.925µm
_0205_,3.925µm
_0220_,3.925µm
_0252_,3.925µm
_0257_,3.925µm
net297,3.9µm
net402,3.9µm
_0495_,3.88µm
_0734_,3.88µm
_0741_,3.88µm
net421,3.88µm
_0037_,3.855µm
_0449_,3.82µm
_0004_,3.78µm
_0036_,3.78µm
_0059_,3.78µm
_0073_,3.78µm
_0225_,3.78µm
net377,3.78µm
_0354_,3.76µm
_0721_,3.76µm
_0322_,3.74µm
_0550_,3.74µm
_0501_,3.72µm
_0192_,3.705µm
_0238_,3.705µm
_0067_,3.685µm
net339,3.68µm
net375,3.68µm
_0382_,3.64µm
_0436_,3.64µm
_0552_,3.64µm
scratch\[7\]\[24\],3.64µm
_0034_,3.635µm
_0066_,3.625µm
net313,3.56µm
net359,3.56µm
net361,3.56µm
net392,3.56µm
net395,3.56µm
net415,3.56µm
net416,3.56µm
net427,3.56µm
net432,3.56µm
_0287_,3.54µm
_0308_,3.54µm
_0310_,3.54µm
_0458_,3.54µm
_0571_,3.54µm
_0579_,3.54µm
_0596_,3.54µm
_0729_,3.54µm
net344,3.54µm
scratch\[5\]\[20\],3.535µm
_0673_,3.52µm
_0749_,3.52µm
_0014_,3.505µm
_0032_,3.505µm
_0043_,3.505µm
_0047_,3.505µm
_0165_,3.485µm
_0185_,3.485µm
_0052_,3.465µm
_0098_,3.465µm
_0109_,3.465µm
_0115_,3.465µm
_0116_,3.465µm
_0126_,3.465µm
_0130_,3.465µm
_0142_,3.465µm
_0143_,3.465µm
_0145_,3.465µm
_0152_,3.465µm
_0231_,3.465µm
_0245_,3.465µm
_0108_,3.44µm
_0503_,3.44µm
_0603_,3.44µm
_0802_,3.44µm
_0350_,3.42µm
_0374_,3.42µm
_0563_,3.42µm
_0710_,3.42µm
_0751_,3.42µm
net61,3.42µm
net68,3.42µm
net300,3.42µm
net325,3.42µm
net433,3.42µm
_0517_,3.38µm
_0647_,3.38µm
_0521_,3.36µm
_0134_,3.345µm
_0135_,3.345µm
_0194_,3.345µm
_0196_,3.34µm
_0062_,3.32µm
_0207_,3.32µm
_0212_,3.32µm
_0268_,3.32µm
_0270_,3.32µm
_0292_,3.32µm
_0294_,3.32µm
_0516_,3.32µm
net380,3.32µm
_0338_,3.3µm
scratch\[5\]\[3\],3.3µm
_0497_,3.29µm
_0709_,3.26µm
net352,3.22µm
_0136_,3.175µm
_0147_,3.175µm
_0545_,3.14µm
_0561_,3.14µm
_0755_,3.14µm
_0128_,3.125µm
_0341_,3.1µm
_0269_,3.08µm
_0297_,3.08µm
_0317_,3.08µm
_0324_,3.08µm
_0373_,3.08µm
_0425_,3.08µm
_0530_,3.08µm
_0534_,3.08µm
_0539_,3.08µm
_0615_,3.08µm
_0626_,3.08µm
_0627_,3.08µm
_0714_,3.08µm
_0800_,3.08µm
net291,3.08µm
net434,3.08µm
_0224_,3.075µm
_0085_,3.045µm
_0139_,3.045µm
_0157_,3.045µm
_0176_,3.045µm
_0258_,3.045µm
_0021_,3.005µm
_0050_,3.005µm
_0077_,3.005µm
_0082_,3.005µm
_0112_,3.005µm
_0138_,3.005µm
_0140_,3.005µm
_0141_,3.005µm
_0166_,3.005µm
_0180_,3.005µm
_0235_,3.005µm
_0033_,2.98µm
_0055_,2.98µm
_0075_,2.98µm
_0471_,2.98µm
_0479_,2.98µm
_0519_,2.98µm
_0535_,2.98µm
_0717_,2.98µm
net408,2.98µm
_0366_,2.96µm
net319,2.96µm
net346,2.96µm
_0092_,2.955µm
_0457_,2.94µm
_0477_,2.92µm
_0493_,2.92µm
_0161_,2.885µm
_0051_,2.86µm
_0132_,2.86µm
_0182_,2.86µm
_0183_,2.86µm
_0272_,2.86µm
_0295_,2.86µm
_0323_,2.86µm
_0330_,2.86µm
_0560_,2.86µm
net292,2.86µm
_0335_,2.84µm
net403,2.84µm
_0049_,2.785µm
_0072_,2.785µm
_0094_,2.785µm
_0104_,2.785µm
_0110_,2.785µm
_0117_,2.785µm
_0127_,2.785µm
_0131_,2.785µm
_0148_,2.785µm
_0149_,2.785µm
_0150_,2.785µm
_0159_,2.785µm
_0190_,2.785µm
_0250_,2.785µm
_0542_,2.76µm
net407,2.76µm
_0512_,2.72µm
_0170_,2.715µm
_0209_,2.715µm
_0223_,2.705µm
_0118_,2.665µm
_0688_,2.64µm
net389,2.64µm
_0282_,2.62µm
_0430_,2.62µm
_0606_,2.62µm
_0640_,2.62µm
_0664_,2.62µm
_0723_,2.62µm
_0781_,2.62µm
net360,2.62µm
_0039_,2.595µm
_0215_,2.585µm
_0557_,2.58µm
_0002_,2.545µm
_0010_,2.545µm
_0015_,2.545µm
_0086_,2.545µm
_0187_,2.545µm
_0189_,2.545µm
_0208_,2.545µm
_0221_,2.545µm
_0230_,2.545µm
_0241_,2.545µm
_0243_,2.545µm
_0247_,2.545µm
_0255_,2.545µm
_0193_,2.52µm
_0403_,2.52µm
_0515_,2.52µm
_0659_,2.52µm
_0388_,2.5µm
_0642_,2.5µm
_0677_,2.5µm
_0685_,2.5µm
_0758_,2.5µm
net296,2.5µm
net341,2.5µm
_0663_,2.46µm
_0019_,2.425µm
_0278_,2.4µm
_0288_,2.4µm
_0318_,2.4µm
_0454_,2.4µm
net289,2.4µm
_0216_,2.375µm
_0219_,2.375µm
_0244_,2.375µm
_0009_,2.325µm
_0020_,2.325µm
_0038_,2.325µm
_0041_,2.325µm
_0068_,2.325µm
_0084_,2.325µm
_0101_,2.325µm
_0106_,2.325µm
_0113_,2.325µm
_0124_,2.325µm
_0133_,2.325µm
_0144_,2.325µm
_0151_,2.325µm
_0153_,2.325µm
_0158_,2.325µm
_0160_,2.325µm
_0163_,2.325µm
_0199_,2.325µm
_0210_,2.325µm
_0248_,2.325µm
_0478_,2.3µm
_0500_,2.3µm
_0544_,2.3µm
_0611_,2.3µm
net322,2.3µm
net328,2.3µm
net397,2.3µm
_0750_,2.28µm
_0529_,2.27µm
_0492_,2.18µm
_0498_,2.18µm
_0524_,2.18µm
_0546_,2.18µm
_0290_,2.16µm
_0334_,2.16µm
_0352_,2.16µm
_0353_,2.16µm
_0459_,2.16µm
_0483_,2.16µm
_0522_,2.16µm
_0531_,2.16µm
_0555_,2.16µm
_0575_,2.16µm
_0590_,2.16µm
_0725_,2.16µm
_0737_,2.16µm
net315,2.16µm
net333,2.16µm
net439,2.16µm
_0095_,2.145µm
_0265_,2.145µm
_0054_,2.125µm
_0069_,2.125µm
_0080_,2.125µm
_0177_,2.125µm
_0218_,2.125µm
_0100_,2.085µm
_0178_,2.085µm
_0202_,2.085µm
_0650_,2.06µm
_0708_,2.06µm
net299,2.04µm
net417,2.04µm
_0053_,2.025µm
_0070_,2.025µm
_0162_,2.025µm
_0164_,2.025µm
_0174_,2.025µm
_0181_,2.025µm
_0533_,2.02µm
_0391_,1.94µm
_0466_,1.94µm
net278,1.94µm
net294,1.94µm
net396,1.94µm
net441,1.94µm
_0254_,1.915µm
_0016_,1.865µm
_0048_,1.865µm
_0061_,1.865µm
_0065_,1.865µm
_0076_,1.865µm
_0087_,1.865µm
_0088_,1.865µm
_0097_,1.865µm
_0099_,1.865µm
_0121_,1.865µm
_0123_,1.865µm
_0125_,1.865µm
_0156_,1.865µm
_0167_,1.865µm
_0191_,1.865µm
_0234_,1.865µm
_0251_,1.865µm
_0305_,1.84µm
_0462_,1.84µm
_0464_,1.84µm
_0502_,1.84µm
_0548_,1.84µm
_0564_,1.84µm
_0574_,1.84µm
_0779_,1.84µm
net281,1.84µm
net364,1.84µm
net399,1.84µm
net404,1.84µm
net406,1.84µm
net409,1.84µm
net422,1.84µm
net425,1.84µm
net436,1.84µm
net437,1.84µm
_0361_,1.72µm
_0427_,1.72µm
_0275_,1.7µm
_0554_,1.7µm
_0649_,1.7µm
_0666_,1.7µm
_0720_,1.7µm
_0810_,1.7µm
_0394_,1.68µm
_0586_,1.6µm
_0008_,1.575µm
_0114_,1.575µm
_0537_,1.56µm
_0306_,1.48µm
_0307_,1.48µm
_0735_,1.46µm
_0046_,1.405µm
_0119_,1.405µm
_0226_,1.405µm
_0228_,1.405µm
_0370_,1.38µm
_0638_,1.38µm
_0660_,1.38µm
net282,1.38µm
net285,1.38µm
net381,1.38µm
net384,1.38µm
_0509_,1.22µm
_0553_,1.22µm
_0765_,1.22µm
_0362_,1.14µm
_0609_,1.14µm
_0771_,1.14µm
net378,1.02µm
_0767_,0.92µm
net283,0.92µm
net307,0.92µm
net310,0.92µm
net385,0.92µm
net400,0.92µm
net405,0.92µm
_0303_,0.8µm
_0766_,0.8µm
_0277_,0.46µm
_0285_,0.46µm
_0301_,0.46µm
_0309_,0.46µm
_0311_,0.46µm
_0315_,0.46µm
_0343_,0.46µm
net308,0.46µm
net316,0.46µm
net317,0.46µm
net320,0.46µm
net326,0.46µm
net330,0.46µm
net332,0.46µm
net335,0.46µm
net336,0.46µm
net353,0.46µm
net354,0.46µm
net362,0.46µm
net363,0.46µm
net366,0.46µm
net367,0.46µm
net371,0.46µm
net372,0.46µm
net410,0.46µm
net411,0.46µm
net418,0.46µm
net419,0.46µm
net428,0.46µm
net430,0.46µm
net431,0.46µm
net435,0.46µm
