net,length_um
scratch\[0\]\[9\],43.83µm
scratch\[0\]\[17\],43.72µm
net83,43.3µm
_0587_,43.26µm
_0598_,42.94µm
scratch\[0\]\[24\],42.8µm
scratch\[0\]\[5\],42.64µm
net96,42.46µm
net4,42.38µm
scratch\[0\]\[12\],41.72µm
scratch\[0\]\[26\],41.67µm
net95,41.5µm
_0746_,41.3µm
net81,40.58µm
net98,40.58µm
net6,40.02µm
net18,39.78µm
_0419_,39.64µm
net71,39.58µm
scratch\[0\]\[2\],38.94µm
net58,38.1µm
net69,38.1µm
_0613_,37.84µm
net274,36.74µm
net9,36.34µm
scratch\[3\]\[7\],36.12µm
_0441_,35.71µm
_0592_,35.7µm
clknet_leaf_20_clock,34.88µm
scratch\[2\]\[1\],34.32µm
net11,34.3µm
scratch\[0\]\[29\],33.54µm
_0651_,33.42µm
scratch\[0\]\[6\],32.86µm
_0785_,32.76µm
scratch\[0\]\[4\],32.66µm
net21,32.34µm
_0384_,31.78µm
net54,31.78µm
scratch\[0\]\[21\],31.64µm
scratch\[2\]\[24\],30.46µm
scratch\[0\]\[15\],30.25µm
scratch\[2\]\[22\],30.24µm
net103,30.14µm
scratch\[2\]\[14\],29.7µm
scratch\[0\]\[27\],29.48µm
_0654_,29.44µm
_0578_,29.3µm
_0583_,29.28µm
net70,29.22µm
net104,28.92µm
_0401_,28.58µm
net148,28.055µm
_0783_,27.82µm
scratch\[0\]\[23\],27.74µm
_0768_,27.66µm
scratch\[0\]\[28\],27.64µm
_0359_,27.56µm
scratch\[2\]\[9\],27.42µm
_0777_,27.385µm
_0776_,27.2µm
_0412_,27.16µm
scratch\[3\]\[26\],26.92µm
scratch\[0\]\[10\],26.74µm
scratch\[2\]\[12\],26.1µm
_0608_,26.06µm
scratch\[2\]\[0\],26µm
net72,25.94µm
_0333_,25.86µm
current_stage[0],25.79µm
scratch\[2\]\[7\],25.7µm
host_input_addr[13],25.65µm
_0732_,25.62µm
scratch\[2\]\[26\],25.2µm
scratch\[2\]\[5\],24.88µm
scratch\[3\]\[5\],24.76µm
net212,24.76µm
net102,24.7µm
scratch\[3\]\[6\],24.6µm
net73,24.6µm
done,24.49µm
net55,24.34µm
_0581_,24.3µm
_0778_,24.28µm
_0675_,24.26µm
scratch\[2\]\[17\],24.26µm
host_output_data[1],23.57µm
net75,23.48µm
_0689_,23.38µm
scratch\[5\]\[4\],23.38µm
_0569_,23.34µm
scratch\[2\]\[4\],23.34µm
_0593_,23.06µm
_0582_,22.9µm
scratch\[1\]\[3\],22.805µm
host_input_data[13],22.77µm
_0336_,22.76µm
net74,22.745µm
host_input_addr[16],22.65µm
scratch\[2\]\[20\],22.51µm
host_input_data[2],22.43µm
scratch\[0\]\[22\],22.42µm
host_input_addr[9],22.36µm
scratch\[2\]\[16\],22.32µm
host_output_data[10],22.12µm
host_output_data[9],22.12µm
_0389_,22.02µm
host_output_data[0],21.83µm
host_output_data[14],21.66µm
scratch\[2\]\[23\],21.6µm
host_input_data[23],21.49µm
host_output_data[7],21.49µm
host_input_addr[11],21.44µm
_0787_,21.42µm
scratch\[3\]\[16\],21.24µm
host_output_data[12],21.2µm
host_output_data[17],21.2µm
host_output_data[19],21.2µm
host_output_data[8],21.2µm
host_input_addr[1],21.03µm
host_input_addr[8],21.03µm
host_output_addr[4],21.03µm
_0693_,20.96µm
host_input_data[18],20.81µm
host_input_data[26],20.81µm
host_output_data[6],20.81µm
host_output_data[24],20.76µm
host_output_data[11],20.74µm
scratch\[3\]\[31\],20.72µm
host_input_addr[15],20.69µm
host_input_addr[18],20.69µm
host_input_data[4],20.69µm
host_output_addr[0],20.69µm
host_output_addr[5],20.69µm
host_output_data[5],20.69µm
net101,20.68µm
host_input_data[17],20.64µm
_0421_,20.565µm
host_input_addr[12],20.52µm
host_input_addr[17],20.52µm
host_input_data[11],20.52µm
host_input_data[29],20.52µm
host_output_data[20],20.47µm
host_output_data[25],20.47µm
host_output_data[2],20.47µm
current_stage[1],20.35µm
host_input_addr[5],20.35µm
host_input_data[25],20.35µm
host_output_addr[6],20.35µm
start,20.35µm
host_input_data[12],20.18µm
host_input_data[21],20.13µm
host_input_data[27],20.13µm
host_input_addr[3],20.01µm
host_output_addr[1],20.01µm
host_output_addr[7],20.01µm
_0442_,19.96µm
host_output_data[15],19.84µm
host_output_data[28],19.84µm
host_output_data[29],19.84µm
host_output_data[13],19.79µm
host_output_data[16],19.79µm
host_output_data[21],19.79µm
host_output_data[22],19.79µm
host_output_data[23],19.79µm
host_output_data[27],19.79µm
_0701_,19.74µm
host_input_data[24],19.72µm
host_input_data[9],19.72µm
scratch\[2\]\[25\],19.72µm
scratch\[3\]\[12\],19.72µm
busy,19.67µm
current_stage[3],19.67µm
host_input_addr[4],19.67µm
host_output_addr[9],19.67µm
host_input_addr[14],19.6µm
host_input_addr[19],19.6µm
host_input_data[0],19.6µm
host_input_data[10],19.6µm
host_input_data[14],19.6µm
host_input_data[15],19.6µm
host_input_data[16],19.6µm
host_input_data[19],19.6µm
host_input_data[1],19.6µm
host_input_data[28],19.6µm
host_input_data[30],19.6µm
host_input_data[31],19.6µm
host_input_data[3],19.6µm
host_input_data[8],19.6µm
host_input_we,19.6µm
net100,19.52µm
host_input_addr[0],19.45µm
host_input_data[6],19.45µm
host_output_data[30],19.38µm
host_output_data[31],19.38µm
host_input_addr[10],19.33µm
host_input_addr[2],19.33µm
host_input_data[20],19.33µm
host_input_data[7],19.33µm
host_output_addr[10],19.33µm
reset,19.33µm
scratch\[3\]\[30\],19.3µm
scratch\[0\]\[13\],19.12µm
host_input_data[5],19.11µm
host_output_data[18],19.11µm
host_output_data[26],19.11µm
host_output_data[3],19.11µm
net14,19.1µm
scratch\[0\]\[3\],19.04µm
current_stage[2],18.99µm
host_input_addr[20],18.99µm
host_input_addr[7],18.99µm
host_input_data[22],18.99µm
host_output_addr[2],18.99µm
host_output_addr[3],18.99µm
scratch\[3\]\[27\],18.96µm
